bloco,n_features,roc_auc,queda_auc
sem município (educacional),128,0.6424829499286547,0.008758397296658615
sem educacional,106,0.647792410340096,0.003448936885217302
sem escola (socioeconômico),127,0.6486032571505733,0.0026380900747400293
sem UF,135,0.6494157901439347,0.0018255570813786592
sem município (socioeconômico),99,0.6494499196388639,0.0017914275864494567
sem aluno,135,0.6502849303694679,0.0009564168558454655
sem município (financiamento),122,0.6504440126707147,0.0007973345545986277
(modelo completo),137,0.6512413472253133,0.0
sem território,131,0.6534582097088808,-0.00221686248356745
sem escola (infraestrutura),115,0.6559742424911053,-0.004732895265791903
sem identificação geográfica,135,0.6567055170650248,-0.00546416983971143
