feature,bloco,r,p_valor,n
mun_lag_media_portugues,município (educacional),0.7007543772503836,0.0,4342
mun_lag_taxa_observada,município (educacional),0.7000757847721927,0.0,4368
mun_lag_taxa_oficial,município (educacional),0.6933831072546033,0.0,4342
mun_lag_meta_ano_alvo,município (educacional),0.6815349942407025,0.0,4201
mun_lag_nivel_alfabetizacao,município (educacional),0.6728464084806605,0.0,4201
uf_lag_taxa,UF,0.6220832374085827,0.0,4950
uf_lag_ranking,UF,-0.6116887820361578,0.0,4950
edu_ideb_ai_publica,educacional,0.6020665007406074,0.0,9013
edu_ideb_ai_publica_imputado,educacional,0.5997827100191222,0.0,9434
edu_ideb_ai_rede_do_aluno,educacional,0.5895928181486306,0.0,8918
edu_saeb5_media_lp,educacional,0.5895275187403664,0.0,9219
mun_lag_gap_meta_ano,município (educacional),0.580784994194969,0.0,4201
edu_saeb_nota_mat,educacional,0.5763098897532013,0.0,9014
edu_saeb_nota_lp,educacional,0.5752518408613645,0.0,9014
edu_ideb_ai_uf,educacional,0.5691414098167916,0.0,9434
edu_saeb5_pct_lp_altos,educacional,0.5649119864731775,0.0,7120
edu_saeb5_pct_lp_baixos,educacional,-0.5620627968877239,0.0,8512
edu_docentes_superior_ai,educacional,-0.47509518823502805,0.0,9426
mun_lag_pct_participacao,município (educacional),0.38508806842513976,1.4082881408253762e-148,4201
ses_taxa_atraso_2anos_fund,município (socioeconômico),-0.38282729440478025,0.0,9429
edu_regularidade_docente_baixa,educacional,-0.3438698681469392,3.806989338275078e-260,9436
edu_ideb_taxa_aprovacao,educacional,0.34229453458656584,1.1790881551538428e-254,9326
ses_razao_pbf_cadunico,município (socioeconômico),-0.33568956883360884,2.7519973207027634e-247,9437
edu_ideb_indicador_rendimento,educacional,0.33502257873341706,2.2149023655585716e-243,9326
ses_prop_domicilio_denso,município (socioeconômico),-0.32908470445541366,5.763547625149395e-237,9429
ses_valor_pbf_per_capita_atual,município (socioeconômico),-0.3279542353062034,1.8567131638046024e-235,9437
ses_cobertura_pbf_atual,município (socioeconômico),-0.32366238290386906,4.837877818026839e-229,9437
ses_ivs_capital_humano,município (socioeconômico),-0.3225765037608535,3.0372785318431923e-227,9429
inse_min_escola,escola (socioeconômico),0.3201573727619395,4.793102119785537e-222,9359
fin_pct_fundeb_sobre_desp_total,município (financiamento),-0.3180122993479272,4.58061656016741e-218,9321
ses_expectativa_anos_estudo,município (socioeconômico),0.31407060779099494,6.753925220056804e-215,9429
ses_ivs,município (socioeconômico),-0.31205787600199786,4.924994041026048e-212,9429
inse_medio_uf,escola (socioeconômico),0.31107952027209457,4.2131083426110166e-209,9359
ses_taxa_pbf,município (socioeconômico),-0.31033797040006383,8.809526934553727e-210,9437
inse_medio,escola (socioeconômico),0.31002399452273943,1.2598390931400799e-207,9359
ses_taxa_desocupacao,município (socioeconômico),-0.3071732592112658,3.527699534532744e-205,9429
ses_prop_mae_sem_fundamental,município (socioeconômico),-0.29613581613725454,3.628547349384815e-190,9429
ses_prop_vulneravel,município (socioeconômico),-0.2953610265319606,3.8807979157210175e-189,9429
