feature,importancia,medida,bloco
alu_caderno,6274,ganho,aluno
id_municipio,3878,ganho,identificação geográfica
sigla_uf,1049,ganho,identificação geográfica
ter_mesorregiao,987,ganho,território
inse_tamanho_medio_escola,557,ganho,escola (socioeconômico)
inf_dispositivos_por_aluno,547,ganho,escola (infraestrutura)
inf_alunos_por_docente_ai,529,ganho,escola (infraestrutura)
fin_desp_professor_por_aluno,523,ganho,município (financiamento)
fin_pct_mde_sobre_impostos,504,ganho,município (financiamento)
inf_alunos_por_turma_ai,502,ganho,escola (infraestrutura)
inf_pct_tempo_integral_ai,495,ganho,escola (infraestrutura)
ses_prop_crianca_fora_escola,489,ganho,município (socioeconômico)
inse_desvio_escolas,489,ganho,escola (socioeconômico)
edu_tdi_anos_iniciais,487,ganho,educacional
ses_share_indigena_quilombola,478,ganho,município (socioeconômico)
edu_tdi_2ano,474,ganho,educacional
edu_docentes_superior_ai,471,ganho,educacional
inf_matriculas_ai,462,ganho,escola (infraestrutura)
ses_share_esgoto_inadequado,459,ganho,município (socioeconômico)
inse_desvio_vs_uf,452,ganho,escola (socioeconômico)
fin_pct_ens_fund_sobre_educacao,445,ganho,município (financiamento)
ses_taxa_freq_escola_5_6,438,ganho,município (socioeconômico)
ses_taxa_atraso_2anos_fund,433,ganho,município (socioeconômico)
ses_valor_medio_familia_pbf,432,ganho,município (socioeconômico)
ses_prop_mae_sem_fundamental,430,ganho,município (socioeconômico)
inf_pct_quadra,429,ganho,escola (infraestrutura)
ses_taxa_desocupacao,427,ganho,município (socioeconômico)
edu_ideb_ai_rede_do_aluno,420,ganho,educacional
fin_pct_fundeb_nao_aplicado,418,ganho,município (financiamento)
fin_pct_fundeb_ens_fund,416,ganho,município (financiamento)
fin_pct_desp_ens_fund_sobre_educ,415,ganho,município (financiamento)
edu_alunos_por_turma_ai,415,ganho,educacional
edu_gap_tdi_rural_urbana,410,ganho,educacional
inf_pct_biblioteca_leitura,407,ganho,escola (infraestrutura)
edu_afd_grupo1_ai,404,ganho,educacional
fin_invest_aluno_ens_fund,402,ganho,município (financiamento)
ses_expectativa_anos_estudo,401,ganho,município (socioeconômico)
ses_ivs_infra_urbana,400,ganho,município (socioeconômico)
edu_esforco_docente_n1,398,ganho,educacional
ses_densidade_demografica,398,ganho,município (socioeconômico)
ses_pib_per_capita,392,ganho,município (socioeconômico)
edu_aprovacao_ai_lag1,390,ganho,educacional
inf_pct_urbana,385,ganho,escola (infraestrutura)
fin_pct_fundeb_sobre_desp_total,375,ganho,município (financiamento)
fin_pct_educacao_sobre_desp_total,374,ganho,município (financiamento)
edu_complexidade_gestao_n1,371,ganho,educacional
inf_pct_internet_aprendizagem,366,ganho,escola (infraestrutura)
ses_moradores_por_domicilio,366,ganho,município (socioeconômico)
ses_share_domicilio_precario,359,ganho,município (socioeconômico)
edu_saeb_nota_mat,359,ganho,educacional
ses_mortalidade_infantil,356,ganho,município (socioeconômico)
inse_min_escola,354,ganho,escola (socioeconômico)
inf_pct_lab_informatica,353,ganho,escola (infraestrutura)
fin_pct_fundeb_educ_infantil,351,ganho,município (financiamento)
fin_invest_aluno_educ_basica,347,ganho,município (financiamento)
inf_pct_banda_larga,340,ganho,escola (infraestrutura)
inf_pct_refeitorio,339,ganho,escola (infraestrutura)
edu_saeb5_pct_lp_altos,337,ganho,educacional
inse_pct_niveis_altos,335,ganho,escola (socioeconômico)
ses_fecundidade_total,333,ganho,município (socioeconômico)
ter_latitude,332,ganho,território
ter_longitude,326,ganho,território
inf_pct_prof_pedagogia,326,ganho,escola (infraestrutura)
inf_pct_conselho_escolar,325,ganho,escola (infraestrutura)
ses_prop_domicilio_denso,311,ganho,município (socioeconômico)
edu_saeb5_pct_lp_baixos,302,ganho,educacional
edu_saeb5_gap_urbano_rural_lp,300,ganho,educacional
