feature,queda_auc,desvio,bloco
edu_ideb_ai_rede_do_aluno,0.024453104546171518,0.000906038454194689,educacional
mun_lag_media_portugues,0.008340304055502568,0.0003088835890960249,município (educacional)
sigla_uf,0.00798885665327446,0.00015600148436562352,identificação geográfica
ter_mesorregiao,0.007237378672864374,0.00046237407812827803,território
inse_medio_uf,0.0047066138539416285,7.383319163662082e-05,escola (socioeconômico)
ter_latitude,0.001832913967028856,8.536288066864477e-05,território
mun_lag_taxa_observada,0.001771500770375652,0.0002763521433936171,município (educacional)
mun_lag_taxa_oficial,0.0015595108187614892,0.00023231058849394854,município (educacional)
edu_saeb_nota_mat,0.0014588655269384132,5.155862213592768e-05,educacional
edu_reprovacao_ai_lag1,0.0013270126835186469,3.174945931982285e-05,educacional
edu_ideb_ai_uf,0.0012084878577612497,4.275966564153775e-05,educacional
inse_min_escola,0.0009423627151461759,0.00011936532145287095,escola (socioeconômico)
ter_longitude,0.0008260224595295999,9.070589803294708e-05,território
alu_caderno,0.0008174572637057453,0.0004967746001228791,aluno
ses_prop_pobreza_criancas,0.0007778920208854437,3.3646611924349004e-05,município (socioeconômico)
edu_saeb_nota_lp,0.000776641080669549,0.00010780962750702175,educacional
inf_alunos_por_turma_ai,0.0007750599491102387,5.6194841600216354e-05,escola (infraestrutura)
alu_rede,0.0007384781128313422,2.4610509143008075e-05,aluno
edu_tdi_2ano,0.0006633649669324226,7.572416798593496e-05,educacional
mun_lag_pct_participacao,0.0006238019061483394,4.950547765067683e-05,município (educacional)
inse_n_escolas,0.0006159846560106855,7.741714818364643e-05,escola (socioeconômico)
inf_pct_conselho_escolar,0.000606100454520142,2.208440018943054e-05,escola (infraestrutura)
uf_lag_taxa,0.0006024597623757918,0.00025715956411020687,UF
edu_saeb5_pct_lp_baixos,0.0005559919648998601,2.9291809921572742e-05,educacional
ses_prop_vulneravel,0.000546782434913462,1.2247413578419638e-05,município (socioeconômico)
edu_ideb_ai_publica_imputado,0.0005377227615397384,2.8299297589981277e-05,educacional
ses_ivs_infra_urbana,0.0004924938678867822,4.893444175273683e-05,município (socioeconômico)
fin_invest_aluno_ens_fund,0.0004557995511631126,3.474157095185731e-05,município (financiamento)
edu_ideb_variacao,0.00043199902690530906,8.808323376972617e-05,educacional
inse_desvio_escolas,0.000423693915714507,8.160963401659503e-05,escola (socioeconômico)
ses_fecundidade_total,0.00040234705592834263,5.8222645082116866e-05,município (socioeconômico)
inf_alunos_por_docente_ai,0.00039665933230955314,2.4533017249908272e-05,escola (infraestrutura)
ses_share_esgoto_inadequado,0.0003797451734069239,0.00011910858470160506,município (socioeconômico)
ses_taxa_alfab_adultos_25a44,0.00037659621367010693,6.741704783934008e-05,município (socioeconômico)
