feature,queda_auc,desvio,bloco
id_municipio,0.0599759297250625,0.0007364306761641,identificação geográfica
edu_ideb_ai_rede_do_aluno,0.0151120289871794,0.0003504436694826,educacional
ter_mesorregiao,0.0025951687068029,0.0001027130511672,território
alu_rede,0.0009281329079317,0.0001819201029458,aluno
edu_tdi_2ano,0.0008542460588451,5.704734755594661e-05,educacional
inf_pct_lab_informatica,0.0005907392790334,4.261459333133104e-05,escola (infraestrutura)
edu_saeb5_pct_lp_altos,0.0005240887904993,3.958567705639025e-05,educacional
inse_desvio_escolas,0.0004715771481662,4.295085751797968e-05,escola (socioeconômico)
edu_saeb_nota_mat,0.0004657882261762,0.0002358257347845,educacional
fin_invest_aluno_ens_fund,0.000443465214181,5.783952763169609e-05,município (financiamento)
fin_pct_fundeb_educ_infantil,0.0004370457166563,1.878821846882371e-05,município (financiamento)
edu_alunos_por_turma_ai,0.0004356536233728,6.523465068544261e-05,educacional
inse_desvio_vs_uf,0.0004029399166967,6.762207412017476e-05,escola (socioeconômico)
inse_tamanho_medio_escola,0.0003828527013923,9.820753551595354e-05,escola (socioeconômico)
ses_prop_resp_sem_fundamental,0.000361007614607,5.092428428269335e-05,município (socioeconômico)
inf_pct_refeitorio,0.0003401730299711,9.125824411915944e-05,escola (infraestrutura)
edu_saeb5_pct_lp_baixos,0.0003284925406115,0.0001066437890992,educacional
edu_tdi_anos_iniciais,0.0003198296173475,3.6183009304502056e-05,educacional
ses_ivs_renda_trabalho,0.0003106571429997,3.551934471656711e-05,município (socioeconômico)
inf_matriculas_ai,0.0002920802018751,5.6335573087047126e-05,escola (infraestrutura)
inf_dispositivos_por_aluno,0.0002817492911925,3.5303243139894405e-05,escola (infraestrutura)
inf_pct_material_jogo,0.0002800026552195,8.194583720297545e-05,escola (infraestrutura)
inf_alunos_por_docente_ai,0.000269640534793,0.0001194847136351,escola (infraestrutura)
fin_pct_fundeb_ens_fund,0.0002472938727474,3.878335210740156e-05,município (financiamento)
edu_aprovacao_ai_lag1,0.0002206749435506,6.872439862904869e-05,educacional
fin_pct_educacao_sobre_desp_total,0.0002190460029892,5.408062097107404e-05,município (financiamento)
inf_pct_urbana,0.0002159909852011,1.4480832761125402e-05,escola (infraestrutura)
ses_indice_envelhecimento,0.0001751083014728,3.560796598172556e-05,município (socioeconômico)
fin_log_desp_educacao,0.0001742233318486,5.268516191389441e-05,município (financiamento)
ses_idhm_educacao,0.0001737499147127,2.662377056493733e-05,município (socioeconômico)
ses_share_domicilio_precario,0.0001711706721301,4.5567680404395416e-05,município (socioeconômico)
edu_saeb5_media_lp,0.0001699768647522,6.240536911950629e-05,educacional
sigla_uf,0.0001644820772589,0.0003232781556717,identificação geográfica
inf_pct_conselho_escolar,0.0001606525029846,6.028576743923893e-05,escola (infraestrutura)
ses_valor_pbf_per_capita_atual,0.0001515492449131,3.7439592052376057e-05,município (socioeconômico)
edu_esforco_docente_n6,0.0001410072870074,3.5069300901989224e-05,educacional
inf_pct_quadra,0.0001408397947156,5.432995908612005e-05,escola (infraestrutura)
ses_prop_pobreza_criancas,0.0001345770394597,3.400884663857648e-05,município (socioeconômico)
edu_abandono_ai_lag1,0.0001341775547391,5.40868828634003e-05,educacional
inf_pct_tempo_integral_ai,0.0001331234283036,8.328106370604305e-05,escola (infraestrutura)
inf_alunos_por_turma_ai,0.0001328973310485,5.748255988188141e-05,escola (infraestrutura)
edu_ideb_variacao,0.0001312143629528,1.3706740860467964e-05,educacional
ses_cobertura_pbf_atual,0.0001225990172093,4.148080650796089e-06,município (socioeconômico)
inse_medio_uf,0.0001175230644777,6.680183114618253e-05,escola (socioeconômico)
ses_prop_domicilio_denso,0.0001174082126205,3.9246699518252056e-05,município (socioeconômico)
ses_prop_mae_sem_fundamental,0.0001077990099245,5.4967388894253705e-05,município (socioeconômico)
ses_taxa_alfabetizacao_15mais,0.0001072817604373,3.3329435836730535e-05,município (socioeconômico)
edu_saeb_nota_lp,0.0001046446757961,1.934462002866497e-05,educacional
inse_pct_escolas_rurais,9.973649277624416e-05,4.892537018068127e-05,escola (socioeconômico)
ter_longitude,9.698476434298146e-05,1.2054907087906585e-05,território
ses_log_renda_per_capita,9.605949947174192e-05,3.430846101803712e-05,município (socioeconômico)
ses_mortalidade_infantil,9.402129513661854e-05,2.352659718454568e-05,município (socioeconômico)
ses_share_pop_0a14,9.06035507705812e-05,4.218345469233745e-05,município (socioeconômico)
ses_taxa_pbf,7.795764000284588e-05,1.7544864285366955e-06,município (socioeconômico)
ses_idade_mediana,7.17599397240809e-05,2.402786630638927e-05,município (socioeconômico)
ses_prop_vulneravel,7.099460745115434e-05,2.355359386585028e-05,município (socioeconômico)
ter_regiao,5.564641835524112e-05,4.352189771526529e-05,território
inf_pct_energia_publica,4.981914305783134e-05,1.2873812284107647e-05,escola (infraestrutura)
ses_taxa_cadunico,2.755029730683312e-05,5.582357985679877e-05,município (socioeconômico)
inf_n_escolas_ai,2.7406663130280503e-05,5.984613461765586e-05,escola (infraestrutura)
ses_share_indigena_quilombola,2.7138328688688e-05,2.6687471559144e-05,município (socioeconômico)
fin_pct_complementacao_uniao,2.21138373568038e-05,3.3167987724985816e-05,município (financiamento)
fin_log_receita_fundeb,1.8384272972737925e-05,5.671674835401988e-05,município (financiamento)
ses_taxa_freq_escola_5_6,1.573532862893708e-05,9.151871596112136e-05,município (socioeconômico)
inse_medio,1.5458532878912894e-05,8.187337962877569e-05,escola (socioeconômico)
fin_pct_fundeb_nao_aplicado,1.047835938335536e-05,3.526444497839285e-05,município (financiamento)
edu_regularidade_docente_baixa,1.0212868496080793e-05,4.908682712803966e-05,educacional
edu_horas_aula_ai,8.081520414500906e-06,2.1991724660095805e-05,educacional
edu_regularidade_docente_alta,7.747368090874987e-06,2.0571651270417973e-05,educacional
ses_taxa_alfab_adultos_25a44,6.26060525118118e-06,8.08591823174113e-05,município (socioeconômico)
edu_reprovacao_ai_lag1,5.343732333333111e-06,4.057125706330853e-05,educacional
ter_capital_uf,0.0,0.0,território
inf_pct_alimentacao,0.0,0.0,escola (infraestrutura)
ter_amazonia_legal,-9.272068108116351e-07,1.607290752258703e-06,território
edu_ideb_imputado_uf,-2.938709476244897e-06,3.9778581215895676e-07,educacional
inf_pct_biblioteca_leitura,-3.1317937579193136e-06,2.8725578251043277e-05,escola (infraestrutura)
edu_complexidade_gestao_n1,-4.585404914140649e-06,2.635524453434469e-05,educacional
inf_pct_banda_larga,-7.162705557117732e-06,4.1068274708012096e-05,escola (infraestrutura)
edu_saeb5_gap_urbano_rural_lp,-1.2333605264869265e-05,8.13500056154604e-05,educacional
fin_invest_aluno_educ_basica,-1.780314754325681e-05,3.200101964092498e-05,município (financiamento)
inf_pct_agua_potavel,-2.3857421710515855e-05,4.9061661143600665e-05,escola (infraestrutura)
ses_ivs_capital_humano,-2.4083033480707765e-05,6.009634479829494e-06,município (socioeconômico)
edu_esforco_docente_n1,-2.437418571284618e-05,1.6732449543823125e-05,educacional
ses_gini,-3.1215292198775536e-05,1.1943235218782215e-05,município (socioeconômico)
ses_taxa_atraso_2anos_fund,-3.6940407601456414e-05,3.6029759254631887e-05,município (socioeconômico)
ses_share_pop_5a9,-3.7926912925478895e-05,1.2401188313534244e-05,município (socioeconômico)
ses_prop_crianca_fora_escola,-3.976024263126673e-05,4.999460519859955e-05,município (socioeconômico)
ses_ivs_infra_urbana,-4.062516866454313e-05,8.846859914930987e-05,município (socioeconômico)
ses_pib_per_capita,-4.397827418330576e-05,3.6818751147581735e-05,município (socioeconômico)
ses_moradores_por_domicilio,-4.418411978242739e-05,7.12232671897623e-05,município (socioeconômico)
ses_log_populacao,-4.773786927643927e-05,7.979464204250312e-05,município (socioeconômico)
inf_pct_prof_pedagogia,-4.942499867129543e-05,1.4511920232908958e-05,escola (infraestrutura)
edu_afd_grupo5_ai,-5.1088478015826055e-05,3.860134134155125e-05,educacional
edu_alunos_por_turma_rural,-5.471130507606059e-05,6.38696859409883e-05,educacional
ses_taxa_desocupacao,-6.007792455490583e-05,1.4796225822610984e-05,município (socioeconômico)
