number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_desvio,state
0,0.6408984113907283,2026-09-12 12:30:33.185974,2026-09-12 12:30:54.650274,0 days 00:00:21.464300,0.49359671220172163,0.13125830316209655,9,453,600,71,0.0017073967431528124,2.9154431891537547,0.6624074561769746,0.013301829487181433,COMPLETE
1,0.64835125379855,2026-09-12 12:30:54.650521,2026-09-12 12:31:23.083402,0 days 00:00:28.432881,0.5090949803242604,0.010573268083515799,8,1076,900,119,0.00541524411940254,0.016480446427978974,0.6849356442713105,0.01038838617169446,COMPLETE
2,0.6484040947299546,2026-09-12 12:31:23.083662,2026-09-12 12:31:34.968603,0 days 00:00:11.884941,0.619817105976215,0.022004527434741072,4,83,600,55,0.06672367170464207,1.382623217936987,0.7168578594140873,0.009786894375600168,COMPLETE
3,0.6487992168208605,2026-09-12 12:31:34.968864,2026-09-12 12:31:46.437888,0 days 00:00:11.469024,0.43903095579116774,0.049743185797885274,11,468,700,16,6.245139574743075,7.2866537374910445,0.6682096494749166,0.008631818149447093,COMPLETE
4,0.6478043720039146,2026-09-12 12:31:46.438170,2026-09-12 12:31:59.197910,0 days 00:00:12.759740,0.6971061460667621,0.01302780710309028,5,252,500,64,0.0013726318898045872,4.337920697490942,0.6488152939379115,0.009648899441739507,COMPLETE
5,0.6446422972636333,2026-09-12 12:31:59.198181,2026-09-12 12:32:44.165146,0 days 00:00:44.966965,0.9817507766587351,0.02325951592241212,11,374,900,45,1.2604664585649468,5.727904470799623,0.6739417822102108,0.010847982095992024,COMPLETE
6,0.6421270521401369,2026-09-12 12:32:44.165427,2026-09-12 12:33:04.703873,0 days 00:00:20.538446,0.5951981984579586,0.12139707695554378,11,102,800,18,0.03586816498627549,0.01217295809836997,0.6180909155642152,0.013408152783946943,COMPLETE
7,0.6497999500377218,2026-09-12 12:33:04.704197,2026-09-12 12:33:24.289091,0 days 00:00:19.584894,0.44473038620786254,0.02139954903017622,4,83,500,47,8.862326508576253,1.2273800987852967,0.9208787923016158,0.00922104997274354,COMPLETE
8,0.6462504520346534,2026-09-12 12:33:24.289383,2026-09-12 12:33:30.856014,0 days 00:00:06.566631,0.44442679104045424,0.09100328259258599,11,734,200,67,0.02715581955282941,0.0029072088906598446,0.9085081386743783,0.010562337472140247,COMPLETE
9,0.6454333401148015,2026-09-12 12:33:30.860811,2026-09-12 12:33:43.712066,0 days 00:00:12.851255,0.8377637070028385,0.02450001073565503,7,156,800,17,0.35500125258511606,3.53875886477924,0.7300733288106989,0.010785635747522514,COMPLETE
